name	year	director	country	genres	Watched
Blue is the Warmest Color (La Vie D'Adèle -- Chapitres 1 & 2)	2013	Abdellatif Kechiche	France	"coming of age, romantic drama"	x
Memento	2000	Christopher Nolan	USA	"neo-noir, psychological, thriller"	
Royal Tenenbaums	2001	Wes Anderson	USA	comedy drama	
Moonrise Kingdom	2012	Wes Anderson	USA	"coming of age, romantic drama"	x
The Grudge	2004	Takashi Shimizu	USA	"supernatural, horror"	
Psycho	1960	Alfred Hitchcock	USA	horror	x
Scream	1996	Wes Craven	USA	"horror, slasher"	
The Texas Chain Saw Massacre	1974	Tobe Hooper	USA	"horror, slasher"	
the fly	1986	David Cronenberg	USA	"horror, science fiction"	
the mummy	1932	Karl Freund	USA	"horror, pre-code, classic"	
rosemary’s baby	1968	Roman Polanski	USA	"horror, psychological"	
nightmare on elm st	1984	Wes Craven	USA	"supernatural, slasher, horror"	
silence of the lambs	1991	Jonathan Demme	USA	"horror, thriller"	
halloween	1978	John Carpenter	USA	"horror, slasher, independent"	
the thing	1982	John Carpenter	USA	"horror, science fiction"	
paranormal activity	2007	Oren Peli	USA	"supernatural, horror, "	
The Blair Witch Project	1999	"Daniel Myrick, Eduardo Sanchez"	USA	"psychological, horror, supernatural, found footage"	
poltergeist	1982	Tobe Hooper	USA	"supernatural, horror"	
beetlejuice	1988	Tim Burton	USA	"comedy, fantasy"	
the birds	1963	Alfred Hitchcock	USA	"horror, thriller"	
ringu	1998	Hideo Nakata	Japan	"psychological, horror"	
nosferatu	1922	F.W. Murnau	German	"expressionist, horror, classic"	
The Hills Have Eyes	1977	Wes Craven	USA	"exploitation, horror "	
the haunting	1963	Robert Wise	UK	"psychological, horror"	
sixth sense	1999	M. Night Shyamalan	USA	"supernatural, horror, thriller"	
Mulholland dr.	2001	David Lynch	USA	"neo-noir, mystery, surrealist"	
the omen	1976	Richard Donner	"USA, UK"	"supernatural, horror"	
Clueless	1995	Amy Heckerling	USA	"coming of age, comedy"	
